feature_id,theme,longitude,latitude,water_القرية,water_المحصول,water__4,water__5,water__6,water__7,water__8,energy_القرية,energy__3,energy__4,energy__5,energy__6,energy__7,energy__8,energy__9,energy__10,energy__11,energy__12,food_القرية,food__3,food__4,food__5,food__6,food__7,food__8,food__9,food__10,general_info_القرية,general_info__3,general_info__4,general_info__5,general_info__6,regenerative_agriculture_القرية,regenerative_agriculture__3,regenerative_agriculture__4,regenerative_agriculture__5,regenerative_agriculture__6,regenerative_agriculture__7,coord_hash,village_sample_size,water_scarcity_months,water_sufficiency_score,has_solar,manual_labor_pct,crop_diversity,production_level_score,has_animals,farm_size_score,climate_aware,regen_technique_count,fertilizer_reliance_score,pesticide_reliance_score,resource_intensity,has_regen_practice,low_fertilizer,target_regen_adoption,water_insufficient,target_water_risk,small_farm,small_production,high_chem_depend,target_economic_vuln,high_manual_labor,medium_large_farm,target_labor_shortage,climate_observed,has_climate_impact,target_climate_vuln,water_source_Only rain water,"water_source_River, water stream",water_source_Underground well,water_source_Water transportation by tankers,water_source_other,soil_type_Clay soil,soil_type_Loamy (clay and sandy) calcareous soil,soil_type_Loamy soil (clay and sandy),soil_type_Sandy clay soil,soil_type_other,energy_source_Diesel generator electricity from the grid manually,energy_source_Electricity from the grid,energy_source_Manually,energy_source_Solar energy,energy_source_other
Water_10_6fb9c1ee,Water,35.462913,33.614764,Al-Mughayziyeh,,December March,Once a week,other,Sometimes enough,August-September months,Al-Mughayziyeh,Electricity from the grid,One kilowatt-hour of electricity per week,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Al-Mughayziyeh,Avocado and seedlings,December to March,Small production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme)",Few houses (< 30%),,,Ready-made commercial feed is a mixture of the two,,,other,,,Ktermaya El Chouf,Reducing or no-tillage organic fertilization,Animal manure,Partial credit,Homemade pesticides,Partial credit,35.462913_33.614764,1,0.0,2.0,0,0.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,0.6666666666666666,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
Water_11_bf1bf358,Water,35.680277,33.741543,Al-Warhaniyeh,Apples and peaches,September,Not irrigated once every 15 days,other,Sometimes enough,August September July,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al-Warhaniyeh,"Olives Sumac Apples and peaches Fruits, citrus fruits, olives and walnuts Mountain tomatoes and cherries Apples, vegetables and peaches Peaches",June July August,"Small production, large production, medium production","Other pickled vegetables (e.g. cucumber, maqdous) olive oil dried herbs thyme jams or preserves grape molasses",Most homes (60–80%),Laying hens,Between 20 and 50,Domestic or agricultural waste is a mixture of the two,,,other,,,,,,,,,35.680277_33.741543,1,0.0,2.0,0,50.0,4.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_12_35235e9f,Water,35.614259,33.608481,Bater,"Pomegranate, olive, broad bean, pumpkin",September January June,Not irrigated once a week,"River, water stream",Sometimes enough,August September July,Haret Jandal El Chouf,Manually,drag,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bater,"Olives and pomegranates, broad-leaved beans, broad and erect seasons",June July August,Average production,"Honey, olive oil, dried herbs (such as thyme), jams or preserves, dairy products (labneh, cheese)",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two,Niha El Chouf,"More than 2 hectares (>20,000 m2)",Calcareous clay soil,"Lack of precipitation increases heatwaves, frosts","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting",Haret Jandal El Chouf,Using organic materials for organic fertilization,Chemical fertilizers|   Animal manure,Partial credit,Chemical control pesticides,Total dependence,35.614259_33.608481,1,0.0,2.0,0,100.0,3.0,1.0,1,1.0,1,1.0,1.0,1.0,1.3333333333333333,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Water_13_dc44c1a0,Water,35.655584,33.707373,Btalloun,"Apples, cherries, tomatoes, apples, hashish, walnuts, olives, peaches, figs",September July August June,"Once a week, twice",other,Sometimes enough,Summer months,Breih,Manually,Manually on gravity,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Btalloun,"Beans Apple trees Tomatoes Beans for the home Apples Legumes and summer fruits Nuts, cherries, peaches, olives, and beans Vegetables in general, fruit trees",June July August,"Small production, large production, medium production","Dried herbs (such as thyme) Jams or preserves Pickled vegetables Cucumbers, maqdous (grape molasses) Dairy products (labneh, cheese) Others Olive oil",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",Breih,"More than 1 hectare (>10,000 m2)",Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting",Breih,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Organic compost Biofertilizers Elemental sulfur,Partial credit,Biological control Natural enemies Biopesticides Physical control Double door traps...,Partial credit,35.655584_33.707373,1,0.0,2.0,0,100.0,6.0,1.0,1,1.0,1,1.0,1.0,1.0,1.3333333333333333,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
Water_14_999e81a8,Water,35.424124,33.654535,Barja,,February July,"Not irrigated once a week, twice a week",other,always,Summer months,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barja,"Beans, thyme, tomatoes, cucumber, and pepper",June July August,Small production medium production,"Pickled vegetables (e.g. cucumber, maqdous, olive oil, dried herbs, thyme)",Most homes (60–80%),Laying hens,Between 20 and 50,Ready-made commercial feed is a mixture of the two,,,other,,,,,,,,,35.424124_33.654535,1,0.0,2.0,0,50.0,5.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_15_f8b24bb0,Water,35.653917,33.721147,Breih,Apple tree tomatoes,May June September February,"Once every 15 days, twice a week",Irrigation channels,Sometimes enough,August September,Al-Bireh,Manually,Manually,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breih,"Vegetables and trees, such as apples, olives, cherries, pollen, and avocados",June July August,Small production big production,"Olive oil, pickled vegetables (such as cucumber, maqdoos), honey",Most homes (60–80%),Laying hens,Less than 20,"Ready-made commercial feed, household or agricultural waste",,,other,,,Al-Bireh,Using organic materials,Chemical fertilizers |  Animal manure,Partial credit,Chemical control pesticides,Partial credit,35.653917_33.721147,1,0.0,2.0,0,100.0,6.0,1.0,1,1.0,0,1.0,1.0,1.0,1.3333333333333333,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Water_16_7c863eee,Water,35.557639,33.722295,Bshtfine,,,Not irrigated once a week,other,Sometimes enough,July,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bshtfine,"Onions, white beans, olives, vegetables",June July August,Small production medium production,"Olive oil Dried herbs (e.g. thyme) Jams or preserves Pickled vegetables Cucumbers, maqdous) Grape molasses",Some homes (30–60%),Laying hens,Less than 20,Domestic or agricultural waste,,,other,,,,,,,,,35.557639_33.722295,1,0.0,2.0,0,50.0,4.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_17_34aafee2,Water,35.623642,33.668864,Btameh,Olives cucumber tomatoes,April November,"Not irrigated every two days, twice a week, twice a week",other,Sometimes enough,Summer months,Ain W Zain,other,1 kilowatt-hour of electricity per week,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Btameh,"Olives, agricultural tent, tomatoes, parsley, cucumber, seasonal vegetables, tomatoes",June July August,Small production medium production,"Jams or preserves Olive oil Dried herbs (such as thyme) Grape molasses Dairy products Labneh, cheese)",Some homes (30–60%),Layer chicken Free chicken (meat).,Between 20 and 50,Ready-made commercial feed is a mixture of the two,,,other,,,Ain W Zain,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Organic compost |   Animal manure Biofertilizers,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides Chemical control pesticides",Partial credit,35.623642_33.668864,1,0.0,2.0,0,0.0,7.0,1.0,1,1.0,0,1.0,1.0,1.0,0.6666666666666666,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_18_e06a6a46,Water,35.619518,33.644051,Baatharan,Mature trees,,untold,Only rain water,Completely insufficient,Summer months,Baatharan,Manually,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baatharan,Mature trees,June July August,Small production,Olive oil jams or preserves,Some homes (30–60%),,,,,,other,,,Ain Qani,Organic fertilization,Animal manure,Partial credit,Homemade pesticides,Partial credit,35.619518_33.644051,1,0.0,2.0,0,100.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.3333333333333333,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Water_19_d151af89,Water,35.56628,33.6855,Baaqline,"Cucumber, tomato, olive, vegetable, zucchini",,"Not irrigated every two days, once a month, twice a week",other,Sometimes enough,Summer months,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baaqline,"Civilization, wheat, barley, cucumber, tomato, bean, pea, zucchini",June July August,"Small production, large production, medium production","Olive oil Dried herbs (such as thyme) Other jams or preserves Honey Dairy products Labneh, cheese)",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two,,,other,,,Chawalik Deir El Qamar,,Chemical fertilizers,,Chemical control pesticides,Total dependence,35.56628_33.6855,1,0.0,2.0,0,50.0,8.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_20_683bad09,Water,35.493755,33.596866,Bkifa,,,Once every 15 days,Underground well,Sometimes enough,Summer months,Bkifa,Diesel generator,One liter of diesel per week,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,Bkifa,Varieties of plants with vegetable cultivation,June July August,Average production,"Pickled vegetables (such as cucumber, maqdoos)",Some homes (30–60%),,,,,,other,,,,,,,,,35.493755_33.596866,1,0.0,2.0,1,0.0,1.0,1.0,0,1.0,0,0.0,1.0,1.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Water_21_893c0b19,Water,35.604515,33.669817,Jadideh El Chouf,,,Every two days,Irrigation channels,It rarely is,Summer months,Jadideh El Chouf,Electricity from the grid,One kilowatt-hour of electricity per week,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Jadideh El Chouf,Lettuce and abhorrence,June July August,Average production,Olive oil honey,Few houses (< 30%),"Layer chicken, turkey",Between 51 and 100,A mix between the two,Ain W Zain,"More than 1 hectare (>10,000 m2)",Loamy (clay and sandy) calcareous soil,"High temperatures, decreased precipitation, increased frost, heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases",,,,,,,35.604515_33.669817,1,0.0,2.0,0,0.0,1.0,1.0,1,1.0,1,0.0,1.0,1.0,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Water_22_bcbd61a0,Water,35.609278,33.622897,Haret Jandal El Chouf,,,Once every 15 days,"River, water stream",always,Summer months,Haret Jandal El Chouf,Manually,drag,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haret Jandal El Chouf,Olives and vegetables,From September to November,Small production,"Olive oil, pickled vegetables (eg cucumber, maqdous), jams or preserves",Some homes (30–60%),Laying hens,Less than 20,A mix between the two,,,other,,,,,,,,,35.609278_33.622897,1,0.0,2.0,0,100.0,1.0,1.0,1,1.0,0,0.0,1.0,1.0,1.3333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
Water_23_d89f5a87,Water,35.510269,33.589966,Khirbet Bosri,,,untold,other,Sometimes enough,August September,Mazmoura,Diesel generator electricity from the grid manually,One liter of diesel per week,100.0,100.0,100.0,0.0,0.0,1.0,0.0,0.0,Khirbet Bosri,Olives and thyme,December,Average production,"Olive oil, dried herbs (such as thyme), honey",Some homes (30–60%),,,,Mazmoura,"More than 1 hectare (>10,000 m2)",Loamy soil (clay and sandy),"High temperatures, decreased precipitation, increased frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting",Mazmoura,Reducing or not tilling by using organic materials and organic fertilization,Chemical fertilizers|  Organic compost  Animal manure,Partial credit,Chemical control pesticides Homemade pesticides,Total dependence,35.510269_33.589966,1,0.0,2.0,1,100.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.3333333333333333,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
Water_24_cd4c4306,Water,35.642387,33.650928,Khraybeh El Chouf,vegetables,,Not irrigated once a week,other,Sometimes enough,Summer months,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Khraybeh El Chouf,"Mature trees and vegetables, olives and fruits",April to September,Average production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme, jams or preserves, grape molasses",Some homes (30–60%),Laying hens,Less than 20,A mix between the two,,,other,,,,,,,,,35.642387_33.650928,1,0.0,2.0,0,50.0,2.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_25_d1543e92,Water,35.502321,33.656603,Daraya El Chouf,Olives with cucumber round,,"Not irrigated every two days, twice a week",other,Sometimes enough,May June July August September,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daraya El Chouf,"Vegetables, vegetables, beans, chickpeas, thyme, olives, tomatoes, cucumber, lettuce, parsley, seedlings",June July August,Small production,"Olive oil Pickled vegetables (such as cucumber, maqdous) Other dried herbs (thyme) Dairy products (labneh, cheese)",Most homes (60–80%),"Sheep, laying hens, ducks, turkey, chicken (meat)",Between 51 and 100,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",,,other,,,,,,,,,35.502321_33.656603,1,0.0,2.0,0,50.0,11.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_26_ac4476a9,Water,35.505803,33.702675,Dmit El Chouf,Tomato beans,,"Once a week, twice",other,Sometimes enough,July August September,Dmit El Chouf,other,One liter of diesel per week,66.67,33.33,33.33,0.0,0.0,1.0,0.0,0.0,Dmit El Chouf,"Olives, vegetables and fruits, broad beans and tomatoes",June July August,Average production,"Olive oil Pickled vegetables (e.g. cucumber, maqdous) Dried herbs Thyme Jams or preserves Dairy products Labneh, cheese)",Some homes (30–60%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste",Kfarhaym,Less than 5 dunums (< 5000 square metres),other,"High temperatures, decreased untimely rainfall, and decreased heat waves",Low production no significant impact,,,,,,,35.505803_33.702675,1,0.0,2.0,1,66.67,3.0,1.0,1,1.0,1,0.0,1.0,1.0,1.1111333333333333,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_27_ff339682,Water,35.556728,33.706544,Deir El Qamar,Tomato beans,May August June November,"Once every 15 days, twice a week, daily",other,Sometimes enough,"August, September, and August",Bshtfine,Manually,Manual,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deir El Qamar,"Olives, fruits, vegetables, beans and tomatoes",,Small production,"Pickled vegetables (e.g. cucumber, maqdous) Dried herbs Thyme Jams or preserves Olive oil Dairy products Labneh, cheese)",Some homes (30–60%),Laying hens,Between 20 and 50,Ready commercial feed,Bshtfine,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves",Decreased production Increased pests and diseases,Bshtfine,Using organic materials for organic fertilization Reduce or no tillage,Chemical fertilizers | Animal manure,Partial credit,Chemical control pesticides,Partial credit,35.556728_33.706544,1,0.0,2.0,0,100.0,4.0,1.0,1,1.0,1,1.0,1.0,1.0,1.3333333333333333,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
Water_28_1fe221bf,Water,35.542311,33.696575,Deir Dourit,Olive avocado,June,"Not irrigated every two days, once a month, 15 days",other,It rarely is,August is September and July is July,Kfarfakoud,Manually,nothing,33.33,0.0,66.67,0.0,0.0,0.0,0.0,0.0,Deir Dourit,"Fruits, citrus fruits, beans, olives, green trees and avocados",June July August,Average production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme, jams or preserves",Most homes (60–80%),chicken meat (meat),Less than 20,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",Kfarfakoud,"More than 1 hectare (>10,000 m2)",Loamy (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, increase in pests and diseases, difficulties in pollination and fruiting",Kfarfakoud,Using organic materials Food waste recycling/compost Incorporation of crop/weed residues Organic composting | Reducing or no-tillage organic fertilization,Organic compost |  Animal manure Organic compost | Biofertilizers,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides Anti-physical traps double doors...",Partial credit,35.542311_33.696575,1,0.0,2.0,0,33.33,5.0,1.0,1,1.0,1,1.0,1.0,1.0,0.8888666666666666,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
